Marca temporal,Escribe tu historia: ,Crea un #hashtag o título para tu historia:,La historia que contaste te generó una sensación de:  ,Tu historia sucede:,Mientras escribiste la historia sentiste que:,Tu historia esta relacionada con: ,La historia que relataste involucra a:,"En el siguiente conjunto de preguntas haz clic en el número 1) si la característica ubicada a la izquierda es la que más se acerca a tus preferencias, en 2) si para ti está bien tanto la característica de la derecha como la de la izquierda y en 3) si prefieres la característica de la derecha. Empecemos... Al hacer un trabajo prefieres realizarlo:",El proceso de aprendizaje tiene mejores resultados para ti cuando sucede: ,Es más relevante para ti aprender cosas que tengan importancia para:,¿Qué grado estás cursando? ,¿Cuántos años tienes?,Eres:,Vives con... (puedes marcar más de una opción) ,Institución Educativa 
9/30/2019 9:21:48,Me motiva las ganas de salir a delante y no me desmotivo por que se que es para un mejor futuro ,Motivación,Felicidad,Todo el tiempo,Reflexionaste y aprendiste algo nuevo,Convivencia,Tu familia y/o cuidadores,2,2,2,11,18,Mujer,Mamá,I. E. La Avanzada
9/30/2019 9:24:29,"En el barrio la avanzada es muy constante hacer obras de caridad como por ejemplo: reciclar, ayudar al prójimo, y hay mucho respeto, y la institución educativa la avanzada es muy motivadora para hacer este tipo de cosas y es muy importante para los estudiantes y muy satisfactorio pertenecer a una institución que ayude sus alrededores.",#Dejando huellas ,Felicidad,Todo el tiempo,Reflexionaste y aprendiste algo nuevo,Trabajo en equipo,Tus docentes,3,3,3,11,16,Mujer,Mamá,I. E. La Avanzada
9/30/2019 9:24:33,"me motiva las ganas de superarme cada día, de ser alguien en la vida, e incluso para mi país, mi familia es la la principal base de fortalecimiento, pues son ellos quien día a día, con sus consejos, y acciones me encaminan para la vida; quizá me desmotiva la actitud de mis padres poco positiva frente a algunas situaciones que son positivas para mi vida, pero que ellos no entienden, me desmotiva porque es de ellos de quien espero mayor apoyo, sin embargo lucho día tras día para superar todas estas adversidades. ",#yosoysiemprepuedo,Felicidad,De vez en cuando,Reflexionaste y aprendiste algo nuevo,Ninguna de las anteriores,Tu familia y/o cuidadores,3,3,3,11,17,Mujer,Otros familiares,I. E. La Avanzada
9/30/2019 9:24:35,"mi motivación diaria para ir al colegio es la voluntad de los docentes y la manera de enseñanza, lo que transmiten en nosotros los estudiantes, y todos los valores que nos inculcan día a día.
desmotivan te podría decirse el horario de ingreso a la institución.",#lamejorinstitución,Felicidad,Todo el tiempo,Reflexionaste y aprendiste algo nuevo,Trabajo en equipo,Tus docentes,1,1,3,11,16,Mujer,Mamá,I. E. La Avanzada
9/30/2019 9:24:38,"Solía pasar diversos ratos de soledad en los descansos de aquel colegio los cuales se hacían cada vez más eternos, no encontraba a alguien como yo con el cual tener largas charlas interesantes respecto a nuestros conocimientos, hasta que llegó alguien de un grado superior, es fue mi motivo para sonreír en todos mis descansos.",#DescansosEternos,Felicidad,De vez en cuando,Reflexionaste y aprendiste algo nuevo,Ocio y tiempo libre,A ti,2,1,3,10,16,Mujer,Hermanos,I. E. La Avanzada
9/30/2019 9:24:47,"bueno,algo que me motiva para venir a la escuela es por el aprendizaje y la forma como enseñan los profesores, los eventos que hacen.",#mibuencolegio,Felicidad,Todo el tiempo,Reflexionaste y aprendiste algo nuevo,Trabajo en equipo,Tus docentes,3,1,2,11,17,Hombre,Mamá,I. E. La Avanzada
9/30/2019 9:25:44,"en el año 2018  los estudiantes del grado 10° orientados por el profesor Andres del área de artística,hicieron una gran presentación artística, mas claramente,obra de teatro llamada ""A puerta cerrada"" en la cual hubo la participación de todos los estudiantes de dicho grado.",#inclusion_Artistica,Felicidad,Muy rara vez,Reflexionaste y aprendiste algo nuevo,Trabajo en equipo,Tus compañeros,3,1,3,11,17,Hombre,Mamá,I. E. La Avanzada
9/30/2019 9:25:49,"en el año 2018  los estudiantes del grado 10° orientados por el profesor Andres del área de artística,hicieron una gran presentación artística, mas claramente,obra de teatro llamada ""A puerta cerrada"" en la cual hubo la participación de todos los estudiantes de dicho grado.",#inclusion_Artistica,Felicidad,Muy rara vez,Reflexionaste y aprendiste algo nuevo,Trabajo en equipo,Tus compañeros,3,1,3,11,17,Hombre,Mamá,I. E. La Avanzada
9/30/2019 9:25:59,"La rutina es algo negativo de la escuela, donde en su gran mayoría nos hacen solo memorizar, así de lunes a viernes, donde debemos hacer todo lo que nos dicen. Lo bueno es que a veces hay momentos felices con nuestros compañeros de clase.",#Rutina,Tristeza,Todo el tiempo,Reflexionaste y aprendiste algo nuevo,Ninguna de las anteriores,Tus docentes,2,1,3,11,16,Hombre,Mamá,I. E. La Avanzada
9/30/2019 9:25:59,el lugar donde todos pasamos nuestra mayoría de tiempo y podemos disfrutar con nuestros amigos y compañeros por eso es como nuestra segunda casa,la segunda casa ,No estás seguro,Todo el tiempo,Te confundiste y no sabías qué contar,Convivencia,Tus compañeros,3,2,2,11,16,Hombre,Otros familiares,I. E. La Avanzada
